word,category,description,correct_option,options
sever,very hard,to cut off from a whole,2,"['to attack without pausing', 'to officially end a bad system', 'to cut off from a whole', 'a container']"
banish,very hard,to send (a person) away permanently in punishment,3,"['to manage a difficult situation (especially emotionally)', 'to show contrast by placing two things next to each other', 'difficult to find, catch , or achieve', 'to send (a person) away permanently in punishment']"
avert,very hard,to turn away from or prevent,0,"['to turn away from or prevent', 'a cause or reason to start an action', 'to flow very slowly', 'writing made of normal sentences, not a poem']"
wither,very hard,dry out and die (used for plants),2,"['dishonest or not giving the whole truth', 'an untruthful reason given for an action', 'dry out and die (used for plants)', 'to clarify by making less general']"
drought,very hard,a long time with not enough rain,2,"['to stick to and not come off', 'an extremely heavy rain', 'a long time with not enough rain', 'a cause or reason to start an action']"
fuse,very hard,combine into one,2,"['to officially end a bad system', 'to make worse', 'combine into one', 'to turn away from or prevent']"
levy,very hard,to use government authority to demand payment,0,"['to use government authority to demand payment', 'to keep a tradition', 'confidence and enthusiasm within a group of people', 'not harmful']"
wares,very hard,objects for sale,2,"['to remove something unwanted from a group', 'extremely sad, without hope', 'objects for sale', 'the time when an event will happen very soon']"
murky,very hard,dark or cloudy and hard to see through,2,"['to lead a change', 'to create (something strong) through a large effort', 'dark or cloudy and hard to see through', 'to turn away from or prevent']"
lure,very hard,to persuade somebody or an animal come somewhere by promising a reward,2,"['something very popular for a short time', 'to use government authority to demand payment', 'to persuade somebody or an animal come somewhere by promising a reward', 'perfectly appropriate']"
paramount,very hard,of the highest importance,3,"['use all of (used especially for natural resources)', 'logical and understandable, without errors', 'not secret or hidden', 'of the highest importance']"
jeopardy,very hard,a state of danger,1,"['showing the truth (used for a story or piece of information)', 'a state of danger', 'more than is needed, very fancy', 'skilled in a specific ability']"
arid,very hard,"dry, without rain",3,"['to clarify by making less general', 'a state of danger', 'not secret or hidden', 'dry, without rain']"
adverse,very hard,making success more difficult,0,"['making success more difficult', 'to cover completely with liquid', 'writing made of normal sentences, not a poem', 'one side or aspect (used for abstract things)']"
coax,very hard,to gently persuade or influence to do something,3,"['lift up', 'cancel by being opposite but equal in amount', 'to press down, to cause to drop', 'to gently persuade or influence to do something']"
undergo,very hard,experience a difficult change or process,2,"['to move around in search for food', 'unclear', 'experience a difficult change or process', 'careful not to do things that hurt or anger other people']"
erratic,very hard,often changing suddenly and unpredictably,2,"['not secret or hidden', 'not caring about hurting people', 'often changing suddenly and unpredictably', 'a traditional story that teaches a lesson']"
tactful,very hard,careful not to do things that hurt or anger other people,3,"['unable to do well, bad at', 'perfectly appropriate', 'to cover completely with liquid', 'careful not to do things that hurt or anger other people']"
salvage,very hard,to save something from the destruction of everything around it,1,"['to fail to notice', 'to save something from the destruction of everything around it', 'to want something badly and immediately', 'to turn away from or prevent']"
ornate,very hard,heavily decorated in small detail,2,"['not caring about hurting people', 'to cover completely with liquid', 'heavily decorated in small detail', 'to completely confuse']"
haphazard,very hard,not done well and done quickly without planning,1,"['impossible to deny or disprove', 'not done well and done quickly without planning', 'more than is needed, very fancy', ""to trade in a system that doesn't use money""]"
innocuous,very hard,not harmful,2,"['logical and understandable, without errors', 'to give abilities to', 'not harmful', 'hard but easy to break']"
hoist,very hard,lift up,0,"['lift up', 'angered at something unjust or wrong', 'to move around in search for food', 'to decrease in power or size']"
prose,very hard,"writing made of normal sentences, not a poem",1,"['extremely small', 'writing made of normal sentences, not a poem', 'to be slowly destroyed by wind and rain', 'to attack without pausing']"
adept,very hard,skilled in a specific ability,2,"['not harmful', 'housing that someone is living in', 'skilled in a specific ability', 'to want something badly and immediately']"
propulsion,very hard,a force pushing forward,3,"['important immediately', 'to officially end a bad system', 'impossible to stop', 'a force pushing forward']"
audacious,very hard,willing to be bold in social situations to take risks,1,"['to give abilities to', 'willing to be bold in social situations to take risks', 'producing many things', 'cancel by being opposite but equal in amount']"
savage,very hard,violent and uncontrolled,3,"['to produce eggs (used for fish, frogs etc.)', 'difficult to find, catch , or achieve', 'objects for sale', 'violent and uncontrolled']"
vessel,very hard,a container,1,"['angered at something unjust or wrong', 'a container', 'to encourage or stimulate', 'writing made of normal sentences, not a poem']"
cohesive,very hard,well combined into one whole,2,"['not harmful', 'impossible to stop', 'well combined into one whole', 'to enlarge or increase, to improve']"
depress,very hard,"to press down, to cause to drop",3,"['to manage a difficult situation (especially emotionally)', 'confidence and enthusiasm within a group of people', 'to remove something unwanted from a group', 'to press down, to cause to drop']"
eerie,very hard,mysterious and scary,0,"['mysterious and scary', 'to enlarge or increase, to improve', 'not caring about hurting people', 'too colorful and overly decorated']"
cull,very hard,to remove something unwanted from a group,3,"['not harmful', 'to decide not to use or have something good', 'the highest point', 'to remove something unwanted from a group']"
hurl,very hard,to throw forcefully,3,"['not harmful', 'violent and uncontrolled', 'combine into one', 'to throw forcefully']"
pretext,very hard,an untruthful reason given for an action,3,"['very complicated, with may parts (used for abstract things)', 'logical and understandable, without errors', ""to stop somebody's plan"", 'an untruthful reason given for an action']"
catalyst,very hard,something that starts or speeds up an event,1,"['very weak', 'something that starts or speeds up an event', 'cautious, not trusting', 'to give abilities to']"
uphold,very hard,to keep a tradition,1,"['depressing, hopeless, very bad', 'to keep a tradition', 'experience a difficult change or process', 'confident, sophisticated, and polite']"
supplant,very hard,replace someone or something that doesn't fill a role anymore,3,"['to send (a person) away permanently in punishment', 'to become much less or many fewer', 'to cover completely with liquid', ""replace someone or something that doesn't fill a role anymore""]"
dubious,very hard,suspicious and possible wrong,0,"['suspicious and possible wrong', 'too colorful and overly decorated', 'one side or aspect (used for abstract things)', 'produce or growing in very large numbers']"
knack,very hard,a natural ability for a specific skill,1,"['lasting for a very short time', 'a natural ability for a specific skill', 'many in number or very common (used for bad things)', 'extremely small']"
foremost,very hard,highest in rank or importance,2,"['impossible to deny or disprove', 'unimportant and small', 'highest in rank or importance', 'to officially end a bad system']"
endow,very hard,to give abilities to,0,"['to give abilities to', 'to decrease in power or size', 'violent and uncontrolled', 'in spite of']"
overlook,very hard,to fail to notice,2,"['an enjoyable smell', ""replace someone or something that doesn't fill a role anymore"", 'to fail to notice', 'to completely confuse']"
peril,very hard,serious danger,3,"['impossible to stop', 'to become much less or many fewer', 'to produce eggs (used for fish, frogs etc.)', 'serious danger']"
notwithstanding,very hard,in spite of,1,"['to move around in search for food', 'in spite of', 'to cut off from a whole', 'experience a difficult change or process']"
exacerbate,very hard,to make worse,1,"['an untruthful reason given for an action', 'to make worse', 'dry, without rain', 'suspicious and possible wrong']"
spur,very hard,to encourage or stimulate,3,"['attractive and old-fashioned (used especially for places or customs)', 'impossible to stop', 'to use government authority to demand payment', 'to encourage or stimulate']"
lurk,very hard,to hide when preparing to attack,3,"['increase or improve after a low point', 'often changing suddenly and unpredictably', 'to gently persuade or influence to do something', 'to hide when preparing to attack']"
fleeting,very hard,lasting for a very short time,2,"['far away', 'a container', 'lasting for a very short time', 'often changing suddenly and unpredictably']"
trappings,very hard,the visual objects and signs associated with a position or status,0,"['the visual objects and signs associated with a position or status', 'experience a difficult change or process', 'a state of danger', 'not secret or hidden']"
mushroom,very hard,to grow or spread extremely quickly,3,"['to make seem small or unimportant by comparison', 'to remove by digging in the ground', 'a force pushing forward', 'to grow or spread extremely quickly']"
forthcoming,very hard,ready or helpful when needed (used with 'not' to describe problems),3,"['more than is needed, very fancy', 'to decrease in power or size', 'use all of (used especially for natural resources)', ""ready or helpful when needed (used with 'not' to describe problems)""]"
bombard,very hard,to attack without pausing,0,"['to attack without pausing', 'objects for sale', 'very noticeable', 'an enjoyable smell']"
qualify,very hard,to clarify by making less general,3,"['to become much less or many fewer', 'to completely destroy (used for buildings)', 'suspicious and possible wrong', 'to clarify by making less general']"
crave,very hard,to want something badly and immediately,3,"['to send (a person) away permanently in punishment', 'violent and uncontrolled', 'to live somewhere', 'to want something badly and immediately']"
facet,very hard,one side or aspect (used for abstract things),1,"['a force pushing forward', 'one side or aspect (used for abstract things)', 'logical and understandable, without errors', 'in spite of']"
aroma,very hard,an enjoyable smell,2,"['hate and conflict', 'to become much less or many fewer', 'an enjoyable smell', 'logical and understandable, without errors']"
dismal,very hard,"depressing, hopeless, very bad",2,"['one side or aspect (used for abstract things)', 'something very popular for a short time', 'depressing, hopeless, very bad', 'to remove by digging in the ground']"
involved,very hard,"very complicated, with may parts (used for abstract things)",2,"['use all of (used especially for natural resources)', 'to completely confuse', 'very complicated, with may parts (used for abstract things)', 'impossible to deny or disprove']"
inexorable,very hard,impossible to stop,0,"['impossible to stop', 'to encourage or stimulate', 'a short period of calm or inactivity', 'extremely small']"
dwindle,very hard,to become much less or many fewer,3,"['to manage a difficult situation (especially emotionally)', 'in spite of', 'to grow or spread extremely quickly', 'to become much less or many fewer']"
lucid,very hard,"easy to understand, from clear thinking",0,"['easy to understand, from clear thinking', 'to come together for a formal discussion or meeting', 'a container', 'in spite of']"
hazy,very hard,unclear,3,"['to produce eggs (used for fish, frogs etc.)', 'cold-feeling and dark , hopeless', 'to create (something strong) through a large effort', 'unclear']"
morale,very hard,confidence and enthusiasm within a group of people,2,"[""to trade in a system that doesn't use money"", 'to spin or turn around', 'confidence and enthusiasm within a group of people', 'too colorful and overly decorated']"
trickle,very hard,to flow very slowly,2,"['to become much less or many fewer', 'extremely small', 'to flow very slowly', 'to produce eggs (used for fish, frogs etc.)']"
spearhead,very hard,to lead a change,3,"['something very popular for a short time', 'skilled in a specific ability', 'unable to do well, bad at', 'to lead a change']"
grueling,very hard,extremely difficult and tiring,3,"['to move around in search for food', 'to melt slowly after a temperature change', 'confident, sophisticated, and polite', 'extremely difficult and tiring']"
barter,very hard,to trade in a system that doesn't use money,0,"[""to trade in a system that doesn't use money"", 'cautious, not trusting', 'to completely destroy (used for buildings)', 'a serious disease that kills many people']"
thaw,very hard,to melt slowly after a temperature change,1,"['to want something badly and immediately', 'to melt slowly after a temperature change', 'to save something from the destruction of everything around it', 'dry out and die (used for plants)']"
incessant,very hard,happening often without stopping (used for bad things),0,"['happening often without stopping (used for bad things)', 'to gently persuade or influence to do something', 'produce or growing in very large numbers', 'to flow very slowly']"
adhere,very hard,to stick to and not come off,2,"['a class that students can select from among alternatives', 'angered at something unjust or wrong', 'to stick to and not come off', 'a container']"
apex,very hard,the highest point,1,"['often changing suddenly and unpredictably', 'the highest point', 'a false name used publicly', 'to remove something unwanted from a group']"
spawn,very hard,"to produce eggs (used for fish, frogs etc.)",3,"['a small difference in meaning or a very small detail', ""to trade in a system that doesn't use money"", 'skilled in a specific ability', 'to produce eggs (used for fish, frogs etc.)']"
raze,very hard,to completely destroy (used for buildings),3,"['an extremely heavy rain', 'giving careful attention to detail', 'to give abilities to', 'to completely destroy (used for buildings)']"
retract,very hard,to pull back,0,"['to pull back', 'hate and conflict', 'dry, without rain', 'to flow slowly through something with many small holes']"
